"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"TMS320C6452 GPIO","GPIO banked architecture (32 signals, 2 banks)","Architecture","The GPIO module provides up to 32 signals grouped into two banks of 16 (GP[31:0]). Control registers are organized as 32-bit registers per pair of banks, with bit positions mapping to individual GPIOs. This banked structure standardizes access and scales predictably across pins. It enables per-pin control while allowing per-bank interrupt enables. Use Table 1 to map signal numbers to register bits.","Section 2.2; Section 2.5; Table 1","Explicit","Pin multiplexing; Register map","YES","Plan software to iterate over banks for bulk configuration and status collection."
"TMS320C6452 GPIO","Pin multiplexing control","Configuration","GPIO pins share package balls via device-wide pin multiplexing. Multiplexing is configured by a combination of reset configuration and software-programmable registers outside the GPIO module. Proper pinmux is a prerequisite before GPIO control and interrupt use. The actual pin assignment and mux options are device-specific. Refer to the device data manual for exact mux settings.","Section 2.3","Explicit","Device pinmux registers (device data manual); Reset configuration","YES","Validate mux state before enabling GPIO direction or interrupts to avoid bus contention."
"TMS320C6452 GPIO","Endianness independence","Configuration","GPIO operation is independent of endianness. No byte ordering considerations apply when accessing GPIO registers. This simplifies driver design across big- and little-endian CPU modes. The same register programming model applies in all cases. No special alignment handling is required for this peripheral.","Section 2.4","Explicit","NONE","NO","Use standard 32-bit memory-mapped accesses regardless of CPU endianness."
"TMS320C6452 GPIO","Direction control (DIR01)","Configuration","Each GPIO pin is configurable as input (1) or output (0) using the DIR01 register. By default, all GPIO pins come up as inputs after reset. Direction can be changed per pin without affecting others. Correct direction setting is required for output drive or input sampling to be effective. Use Table 1 to locate the DIR bit for a given pin.","Section 3.3; Figure 4; Table 5; Table 1","Explicit","Pinmux configured; PSC clock enabled","YES","Set direction before writing outputs or enabling edge interrupts to ensure intended behavior."
"TMS320C6452 GPIO","Output drive control (OUT/SET/CLR)","Interface","Output state can be driven via three registers: OUT_DATA01 for direct read-modify-write, SET_DATA01 to atomically set bits high, and CLR_DATA01 to atomically clear bits low. SET/CLR allow multiple software processes to manipulate outputs without critical section protection. Reads of OUT/SET/CLR reflect register values, not actual pin state if configured as input. Use IN_DATA01 to observe external signal levels. This allows bulk programming of output states when concurrency is controlled.","Section 1.2; Section 2.6.2; Sections 3.4, 3.5, 3.6","Explicit","DIR configured as output; PSC clock enabled","YES","Prefer SET/CLR for concurrency-safe toggling; reserve OUT for bulk updates when interrupts are masked."
"TMS320C6452 GPIO","Input sampling (IN_DATA01)","Interface","The IN_DATA01 register returns the current logic level per pin synchronized to the GPIO clock. For input-configured pins, it reflects the external signal state after synchronization. For output-configured pins, it returns the device-driven value (or wired-logic value for open-drain cases noted in the data manual). Sampling is per pin and non-destructive. Use this to poll pins or confirm output state.","Section 2.7.2; Section 3.7; Figure 8; Table 9","Explicit","PSC clock enabled","YES","Account for clock-domain synchronization latency when timing edge-sensitive reads."
"TMS320C6452 GPIO","Per-pin edge-triggered interrupts","Interrupts","Every GPIO pin can generate interrupts on rising, falling, or both edges via SET_RIS_TRIG01/CLR_RIS_TRIG01 and SET_FAL_TRIG01/CLR_FAL_TRIG01. Edge detection is synchronized to the GPIO module clock. Interrupt generation does not require the pin to be configured as input, enabling software-driven test interrupts. Configuration is independent per pin. Disable edges explicitly to prevent spurious events.","Section 2.10.3; Sections 3.8–3.11","Explicit","Interrupt controller routing (device-specific); BINTEN per-bank enable; PSC clock enabled","YES","Program only required edges and clear any pending status before enabling CPU-level routing."
"TMS320C6452 GPIO","Per-bank interrupt enable (BINTEN)","Interrupts","GPIO interrupt events are enabled in groups of 16 pins using BINTEN bits EN0 (bank0) and EN1 (bank1). These bits control both CPU interrupt requests and EDMA events for the bank. Disabling a bank masks all per-pin interrupt outputs from that bank. Bank enable works in conjunction with per-pin edge settings. Ensure device-specific interrupt numbers are mapped appropriately.","Section 2.10.2; Section 3.2; Figure 3; Table 4","Explicit","Per-pin edge configuration; CPU interrupt controller; EDMA event mapping","YES","Enable banks only after per-pin edge configuration to avoid unintended first interrupts."
"TMS320C6452 GPIO","Interrupt status and W1C (INTSTAT01)","Interrupts","Pending GPIO interrupts are indicated in INTSTAT01, one bit per pin. Bits are cleared by writing a 1 (write-one-to-clear), while writing 0 has no effect. Status can be used to disambiguate which pin triggered a bank interrupt. Software is responsible for servicing and clearing all pending sources. Use before exiting the ISR to avoid lost events.","Section 2.10.4; Section 3.12; Figure 13; Table 14","Explicit","Per-pin edge configuration; BINTEN; ISR","YES","Always read-modify-write with care: write back only the bits you intend to clear to preserve others."
"TMS320C6452 GPIO","EDMA event support from GPIO","DMA/Buffering","GPIO can generate synchronization events to the EDMA in addition to CPU interrupts. This enables DMA-triggered workflows on GPIO edges without CPU polling. Event routing details (event numbers) are device-specific and defined in the data manual. Bank enable (BINTEN) gates these events. Use for low-latency, low-overhead edge capture.","Section 1.2; Section 2.11","Explicit","EDMA; BINTEN; Device event crossbar (device data manual)","YES","Confirm EDMA event mapping and priority to avoid conflicts with other peripherals."
"TMS320C6452 GPIO","Clock gating and frequency (PSC/LPSC)","Power/Clock","The GPIO input clock is disabled by default and must be enabled through the local Power and Sleep Controller (LPSC/PSC). The GPIO module clock runs at CPU/6 once enabled. Without clock enable, register access and interrupt logic are inactive. Proper power/clock sequencing is required after reset. Clock changes impact edge synchronization timing.","Section 2.1","Explicit","PSC/LPSC; CPU clock configuration","YES","Enable the PSC module before any GPIO configuration and consider clock ratios when budgeting interrupt latency."
"TMS320C6452 GPIO","Low-power behavior via PSC","Power","The PSC can place the GPIO peripheral into reduced-power states to save energy. While in low-power state, interrupt generation is suspended, but output-configured pins maintain their last driven state. Exiting low power restores normal operation after re-enabling the clock. Power transitions do not alter output latch contents. Coordinate with system sleep states.","Section 2.12","Explicit","PSC; System power manager","YES","Quiesce GPIO interrupts before entering low power and reinitialize any timing-sensitive logic on wake."
"TMS320C6452 GPIO","Reset behavior (software vs hardware)","Initialization/Reset","A software reset via emulator does not modify GPIO configuration or signal states. A PSC reset (clock disable, PSC reset, re-enable) returns configuration registers to defaults. A hardware reset resets GPIO configuration and data registers to default states, affecting signal configuration. Understanding reset sources is critical for deterministic boot. Plan reinitialization accordingly.","Section 2.8.1; Section 2.8.2","Explicit","PSC; System reset tree","YES","After hardware reset perform full GPIO init; after emulator reset verify state before assuming defaults."
"TMS320C6452 GPIO","Initialization sequence","Initialization","After hardware reset, initialize GPIO by: configuring pin multiplexing, enabling the module via PSC, and programming direction/data/interrupt control registers. This order ensures pins are safely muxed before being driven. Enabling the clock precedes any register access. Finalize by verifying IN/OUT states and clearing pending interrupts. The module is then ready for data transactions.","Section 2.9","Explicit","Pinmux; PSC; DIR/OUT/IN/INTSTAT registers","YES","Follow the documented order to avoid unintended drive on shared pins during bring-up."
"TMS320C6452 GPIO","Emulation suspend behavior","Debug","The GPIO peripheral is not affected by emulation suspend events such as halts and breakpoints. GPIO outputs and interrupt logic continue according to hardware state. This has implications for debugging time-sensitive interactions. Use caution when halting the CPU while external systems depend on GPIO activity. Hardware continues autonomous behavior.","Section 2.13","Explicit","Emulator; System debug policy","NO","Design debug procedures that avoid halting when GPIO-driven external devices require continuous signaling."
"TMS320C6452 GPIO","Peripheral Identification (PID)","Debug/Identification","The PID register provides peripheral identification fields including scheme, function code (483h for GPIO), major/minor revision, and RTL/custom IDs. It is read-only and fixed by hardware. Software can use these fields to validate the peripheral instance and apply workarounds by revision. Accessing PID does not affect operation. It resides at offset 0x0 in the GPIO register map.","Section 3.1; Figure 2; Table 3","Explicit","NONE","NO","Log PID on boot to aid field diagnostics and compatibility checks."
"TMS320C6452 GPIO","Concurrency-safe set/clear operations","Performance","Separate SET_DATA01 and CLR_DATA01 provide atomic set/clear semantics to avoid critical sections. Multiple software agents can assert or deassert specific outputs without read-modify-write races. This reduces ISR latency and improves determinism. OUT_DATA01 remains available for bulk state programming. Choose the method that best matches concurrency requirements.","Section 1.2; Sections 3.5, 3.6","Explicit","DIR configured as output; Interrupt masking policy","YES","Use SET/CLR in multi-threaded or interrupt-driven contexts to prevent lost bit updates."
"TMS320C6452 GPIO","Edge detection synchronized to GPIO clock","Performance","All interrupt edge detection is synchronized to the GPIO peripheral clock domain. This ensures metastability-safe sensing but introduces up to a cycle of detection latency. Sampling and event timing therefore depend on the CPU/6-derived GPIO clock. Designs should account for this when measuring narrow pulses. Polling via IN_DATA01 observes the synchronized state as well.","Section 2.10.3; Section 3.7","Explicit","PSC clock enabled; CPU clock configuration","YES","For very short pulses consider external conditioning or alternate capture peripherals if timing margins are tight."
"TMS320C6452 GPIO","Open-drain interaction (readback behavior)","Interface","Some signals may utilize open-drain output buffers for wired-logic operations as documented in the device data manual. For such pins, IN_DATA01 reflects the wired-logic level on the signal rather than the device's drive alone. This distinction matters when external pull-ups/pull-downs are present. The GPIO module itself does not configure open-drain behavior. Consult the device manual for pin-level electrical traits.","Section 2.7.2","Explicit","Device electrical specification (data manual)","YES","When using open-drain pins, verify external biasing to ensure correct readback and rise/fall times."
"TMS320C6452 GPIO","No interrupt multiplexing with other functions","Interrupts","GPIO interrupts are not multiplexed with other interrupt functions on this device. This simplifies routing and avoids shared-vector ambiguity. Software can assume dedicated sources for GPIO-related interrupts. Bank and per-pin configuration still determine which lines are active. Refer to the device data manual for vector numbers.","Section 2.10.5","Explicit","CPU interrupt controller; Device vector map","YES","Use distinct ISRs for GPIO vectors and keep service routines minimal to reduce latency."
"TMS320C6452 GPIO","Register map and offsets","Configuration","The GPIO module exposes a linear register map including PID, BINTEN, DIR01, OUT_DATA01, SET_DATA01, CLR_DATA01, IN_DATA01, edge trigger controls, and INTSTAT01. Offsets are listed in Table 2 and are memory-mapped via the device bus. Access width is 32 bits. Reserved address locations must not be written. The actual base address is device-specific.","Section 3; Table 2","Explicit","System memory map; Bus access permissions","YES","Abstract register addresses via a header to prevent hardcoding and ease porting across variants."
