"feature_name","category","description","dependencies","driver_required"
"PSC/LPSC module enable sequence","Power","Modules are clock-gated after reset and must be transitioned to ENABLE via the Power and Sleep Controller before register access. Use MDCTL.NEXT, trigger PTCMD, and poll MDSTAT to confirm the new state.","PSC registers accessible; target LPSC and power domain identified","NO"
"PLL and clock tree configuration","Power","Program PLL multipliers/dividers to achieve target SYSCLK and module clocks. Enter bypass, set ratios, initiate change, wait for lock, then exit bypass to distribute stable clocks.","Reference clock stable; PLL control access; downstream divisors configured","NO"
"Pin multiplexing setup","Configuration","Route peripheral signals to package pins by programming PINMUX registers. Unlock KICK (if present), select functions, and relock to avoid unintended changes.","MMR/KICK unlocked; board-level pin usage defined","NO"
"DDR2 memory controller initialization","Interfaces","Configure DDR2 timings, mode registers, refresh, and PHY/IO settings prior to external memory access. Follow the recommended init sequence to ensure reliable DRAM operation.","PSC enabled for DDR2; stable DDR clock; correct power rails","NO"
"EDMA3 channel and event configuration","DMA/Buffering","Configure PaRAM sets for source/destination, sizes, and indexing; map peripheral/system events to channels; enable events and completions for high-throughput transfers without CPU load.","PSC enabled for EDMA CC/TC; event crossbar/mapping set","NO"
"Interrupt mux configuration to CPU INTx","Configuration","Map system events from peripherals to CPU interrupt vectors via INTMUX. Clear pending flags, enable IER bits, and implement ISRs to service and clear sources deterministically.","INTMUX programmed; CPU IER/GIE enabled","NO"
"GPIO per-bit direction control (DIR)","Interfaces","Configure each GPIO pin as input or output via the DIR register. Apply direction after enabling the module and setting pinmux to avoid unintended glitches.","PSC enabled for GPIO; pinmux set for GPIO function","NO"
"GPIO atomic set/clear outputs","Performance","Drive outputs using SET_DATA and CLR_DATA to avoid read-modify-write hazards. Prefer atomic writes over OUTDATA for partial-port updates under concurrency.","Pins configured as outputs; ISR/task access coordinated","NO"
"GPIO input sampling via INDATA","Interfaces","Read synchronized input levels from INDATA and apply masks to sample multiple pins efficiently. Account for small synchronizer latency in fast paths.","Pins configured as inputs; stable GPIO clock","NO"
"GPIO rising-edge detection","Interrupts","Enable per-pin rising-edge detection with SET_RIS_TRIG and clear any stale latched status before activation. Service and clear in the ISR to prevent re-entry.","Interrupt routing prepared; status registers cleared","YES"
"GPIO falling-edge detection","Interrupts","Enable per-pin falling-edge detection with SET_FAL_TRIG and clear latched bits prior to enabling. Combine with rising-edge as needed for both-edge detection.","Interrupt routing prepared; status registers cleared","NO"
"GPIO banked interrupt aggregation","Interrupts","Group GPIO pins into banks with aggregated interrupt outputs to the CPU. Read bank status then per-pin status to identify and clear multiple simultaneous sources.","INTMUX mapped to chosen CPU INTx; BINTEN configured","NO"
"UART serial communication","Interfaces","Initialize UART with soft reset, line control, baud divisors, FIFO enables, and interrupts/DMAs as needed. Use ISR or EDMA for RX/TX depending on throughput.","PSC enabled; pinmux for TXD/RXD/CTS/RTS; module clock configured","NO"
"I2C master/slave operation","Interfaces","Configure prescaler and SCL low/high counters, own address (if slave), and enable the module. Implement START/STOP and interrupt-driven transfers for reliability.","PSC enabled; pinmux for SDA/SCL; bus pull-ups present","NO"
"SPI master transfers","Interfaces","Set clock polarity/phase, word length, and baud rate; enable chip-select behavior; use FIFOs/EDMA for efficient full-duplex transactions.","PSC enabled; pinmux for SPI pins; CS polarity defined","NO"
"McASP audio serial (TDM/I2S)","Interfaces","Program serializers, clocks, frame sync, and data formats for TDM/I2S/DIT. Use EDMA for continuous streams and verify pinmux routing for AXR/ACLK/AFSX.","PSC enabled; pinmux set; serializer clocks configured; EDMA mapped","NO"
"3-port Gigabit Ethernet switch (3PSW) basic MAC","Interfaces","Bring up the EMAC switch, configure MAC addresses/VLAN/port state, and set up RX/TX descriptors. Coordinate with SGMII/PHY setup and enable interrupts.","PSC enabled; pinmux/SGMII configured; descriptors/queues allocated","NO"
"MDIO PHY management","Interfaces","Use MDIO to discover and configure external PHYs (auto-negotiation, speed/duplex, link). Poll link status and handle PHY interrupts if available.","PSC enabled; pinmux for MDIO/MDC; PHY address known","NO"
"SGMII link configuration","Configuration","Configure SGMII/SerDes lanes for desired rate and auto-negotiation mode. Ensure reference clocks and PLLs are locked before enabling link training.","SerDes/SGMII PLL locked; pinmux set; PHY configured via MDIO","NO"
"PCI host/device interface","Interfaces","Initialize PCI as host or endpoint, configure BARs/windows, and set up interrupts/DMA for data movement. Handle reset sequencing and link training as required.","PSC enabled; pinmux set; reference clock/reset sequencing satisfied","NO"
"UHPI host port interface","Interfaces","Configure UHPI bus width/timing and handshake signals to exchange data with an external host. Coordinate interrupts and optional EDMA for high throughput.","PSC enabled; pinmux set; external host timing compatible","NO"
"General-purpose timers (GP/Watchdog)","Interfaces","Program timers for periodic or one-shot modes and map interrupts for timekeeping. Configure watchdog with window and service sequence for system recovery.","PSC enabled; timer clock source selected; INTMUX mapped","NO"
"EDMA trigger from peripheral events","DMA/Buffering","Map peripheral edge or frame events to EDMA channels to offload transfers. Use completion codes and error handling to maintain data integrity.","Peripheral event routed; PaRAM configured; EDMA completion ISR ready","NO"
"L1/L2 cache and SRAM configuration","Performance","Select cache/SRAM splits, enable caches, and program MAR/MPAX attributes if applicable. Align buffers and manage cache coherence for DMA.","CPU supports caches; external memory map reviewed","NO"
"Boot mode and ROM bootloader configuration","Configuration","Select boot mode via pins/OTP and provide boot media parameters (PLL, clocks, image layout). Hand off to application with correct memory and clock setup.","Boot pins strapped; boot image/media prepared; power-on reset complete","NO"
"JTAG debug and emulation","Debug","Use JTAG for halt/run control, memory access, and trace where supported. Ensure proper pull-ups and that security features do not block debug access.","JTAG pins available; emulation voltage domain powered","NO"
